Jahr	Fondation Beyeler	Historisches Museum	Kunstmuseum Basel	Museum Tinguely	Museum der Kulturen	Naturhistorisches Museum	Spielzeug Welten Museum
2006	339730	194965	263337	144180	51552	69055	57116
2007	389385	174198	228006	123687	60831	114045	64386
2008	298725	147504	216837	118540	52216	144618	64705
2009	325759	142906	665233	117356	25274	90028	63063
2010	385146	154926	217945	121116	22518	97064	66345
2011	426856	156025	207077	112248	36666	84249	60213
2012	368705	156940	243912	105993	52415	93748	66770
2013	334508	158567	260186	116082	55117	93328	82302
2014	 349531 	148509	197226	113095	62845	80920	79027
2015	 481704 	148605	123625	106189	77141	96397	74503
