Kategorie	1 Zimmer	2 Zimmer	3 Zimmer	4 Zimmer	5 Zimmer	6 Zimmer u.m.
2006 Neubau	4	16	106	138	70	19
2006 Umbau						
2007 Neubau	3	11	31	38	33	4
2007 Umbau						
2008 Neubau	8	31	75	64	15	8
2008 Umbau	3	25	31	57	10	17
2009 Neubau	31	104	165	145	16	7
2009 Umbau	9	13	41	44	21	11
2010 Neubau	8	54	156	118	26	10
2010 Umbau	15	17	21	34	16	16
2011 Neubau	9	114	121	94	13	
2011 Umbau	6	11	24	29	18	12
2012 Neubau	19	100	88	41	12	8
2012 Umbau	26	41	40	25	16	6
2013 Neubau	27	83	33	3	26	5
2014 Neubau	21	89	109	105	26	19
2014 Umbau	74	72	71	69	22	11
2015 Neubau	32	258	310	141	42	5
2015 Umbau	36	40	28	17	7	3
